t,it,qt,phit,vt,Rt_Gt
0.805450901803607,1.44228618963513,0.614427718526463,1.41782139115983,2.08267938818819,2500
0.818036072144289,1.45960917467309,0.632688383282676,1.47091612339153,2.13274898431364,2500
0.83062124248497,1.47670098035559,0.651165608898985,1.5252678651477,2.18245585588572,2500
0.843206412825651,1.49355889960686,0.669856468870689,1.58086561816368,2.23165124032187,2500
0.855791583166333,1.5101802623951,0.688758002856737,1.63769456319935,2.28018061309761,2500
0.868376753507014,1.52656243615539,0.707867217148593,1.69573592116399,2.32788419230225,2500
0.880961923847695,1.54270282620659,0.727181085144396,1.75496682745045,2.37459748250269,2500
0.893547094188377,1.55859887616236,0.746696547828328,1.81536022044243,2.42015185579039,2500
0.906132264529058,1.57424806833601,0.766410514255112,1.87688474510242,2.46437516765627,2500
0.918717434869739,1.58964792413929,0.786319862039569,1.93950467248565,2.50709240512015,2500
0.931302605210421,1.60479600447493,0.80642143785116,2.00317983595792,2.54812636433452,2500
0.943887775551102,1.61968991012299,0.826712057913417,2.06786558482279,2.58729835468971,2500
0.956472945891784,1.63432728212084,0.847188508508211,2.13351275598629,2.62442892626906,2500
0.969058116232465,1.64870580213675,0.867847546484749,2.20006766420601,2.65933861734034,2500
0.981643286573146,1.66282319283717,0.888685899773243,2.26747211138598,2.69184871842348,2500
0.994228456913828,1.67667721824731,0.909700267903153,2.33566341528991,2.72178204934688,2500
1.00681362725451,1.69026568410538,0.930887322525927,2.40457445795372,2.74896374559439,2500
1.01939879759519,1.70358643821005,0.952243707942166,2.4741337539837,2.77322205015487,2500
1.03198396793587,1.7166373707614,0.97376604163311,2.54426553883063,2.7943891070149,2500
1.04456913827655,1.72941641469502,0.995450914796378,2.6148898770319,2.81230175238523,2500
1.05715430861723,1.74192154600941,1.01729489288587,2.68592279031511,2.82680229972099,6000
1.06973947895792,1.75415078408658,1.03929451615574,2.7572764053569,2.83773931458729,6000
1.0823246492986,1.76610219200573,1.06144630020836,2.82885912089188,2.84496837543346,6000
1.09490981963928,1.77777387685002,1.08374673654624,2.90057579376705,2.84835281637275,6000
1.10749498997996,1.78916399000639,1.10619229312765,2.97232794344016,2.84776444811827,6000
1.12008016032064,1.80027072745836,1.12877941492608,3.0440139743238,2.84308425330136,6000
1.13266533066132,1.81109233007174,1.15150452449331,3.1155294152835,2.83420305249416,6000
1.145250501002,1.82162708387324,1.17436402252599,3.18676717550665,2.82102213737392,6000
1.15783567134269,1.83187332032198,1.19735428843573,3.2576178158711,2.80345386760204,6000
1.17042084168337,1.84182941657372,1.22047168092256,3.32796983485781,2.7814222281454,6000
1.18300601202405,1.85149379573792,1.24371253855164,3.39770996797171,2.75486334393969,6000
1.19559118236473,1.86086492712745,1.26707318033316,3.46672349955905,2.7237259489849,6000
1.20817635270541,1.8699413265011,1.29054990630537,3.5348945858389,2.68797180716895,6000
1.22076152304609,1.87872155629859,1.3141389981206,3.60210658790107,2.64757608233743,6000
1.23334669338677,1.8872042258683,1.33783671963418,3.6682424133632,2.60252765536323,6000
1.24593186372746,1.89538799168752,1.36163931749619,3.73318486532607,2.55282938621855,6000
1.25851703406814,1.90327155757523,1.38554302174591,3.79681699721948,2.49849831931266,6000
1.27110220440882,1.9108536748974,1.40954404640898,3.85902247209034,2.43956583062949,6000
1.2836873747495,1.91813314276477,1.43363859009696,3.9196859248515,2.37607771547915,6000
1.29627254509018,1.92510880822301,1.4578228366095,3.97869332598328,2.30809421596479,6000
1.30885771543086,1.9317795664354,1.48209295553867,4.03593234516098,2.23568998755966,6000
1.32144288577154,1.93814436085774,1.50644510287572,4.09129271327003,2.15895400448671,6000
1.33402805611222,1.94420218340575,1.53087542161988,4.14466658126633,2.07798940389399,6000
1.34661322645291,1.9499520746147,1.55538004238922,4.19594887434331,1.99291326912072,6000
1.35919839679359,1.95539312379141,1.57995508403356,4.24503763987812,1.90385635265023,6000
1.37178356713427,1.96052446915845,1.60459665424912,4.29183438764832,1.81096273964588,6000
1.38436873747495,1.96534529799063,1.62930085019505,4.33624442083676,1.71438945326153,6000
1.39695390781563,1.96985484674378,1.65406375911156,4.37817715637601,1.61430600320917,6000
1.40953907815631,1.97405240117563,1.67888145893962,4.4175464332245,1.51089387935021,6000
1.42212424849699,1.97793729645893,1.7037500189422,4.45427080721489,1.40434599235301,6000
1.43470941883768,1.9815089172868,1.7286655003268,4.48827383116951,1.294866063725,6000
1.44729458917836,1.98476669797013,1.75362395686929,4.51948431903957,1.18266796778298,6000
1.45987975951904,1.98771012252722,1.77862143553897,4.54783659289216,1.06797502836758,6000
1.47246492985972,1.99033872476547,1.80365397712462,4.57327071164286,0.951019273336509,6000
1.4850501002004,1.99265208835522,1.82871761686161,4.59573268051087,0.832040650084729,6000
1.49763527054108,1.99464984689574,1.85380838505986,4.61517464025779,0.711286205537341,6000
1.51022044088176,1.99633168397318,1.87892230773254,4.63155503536067,0.589009234240799,6000
1.52280561122244,1.99769733321075,1.90405540722552,4.6448387603628,0.465468398340245,6000
1.53539078156313,1.99874657831089,1.92920370284737,4.6549972837435,0.340926823373354,6000
1.54797595190381,1.99947925308951,1.95436321149983,4.6620087487484,0.215651173934162,6000
1.56056112224449,1.99989524150235,1.97952994830865,4.66585805072536,0.0899107133625824,6000
1.57314629258517,1.99999447766333,2.00469992725478,4.66653689061677,-0.0360236483033457,6000
1.58573146292585,1.99977694585497,2.02986916180565,4.66404380436668,-0.161880313815674,6000
1.59831663326653,1.99924268053093,2.05503366554659,4.65838416810974,-0.287387961310579,6000
